KEY_CODE,PREF_N,CITY_N,KCITY_N,AGRI_N,T001039001,T001039002,T001039003,T001039004,T001039005,T001039006,T001039007,T001039008,T001039009,T001039010,T001039011,T001039012
,,,,,農林業経営体,農林業経営体_個人経営,農林業経営体_団体経営,農林業経営体_団体経営_法人経営,農業経営体,農業経営体_個人経営,農業経営体_団体経営,農業経営体_団体経営_法人経営,林業経営体,林業経営体_個人経営,林業経営体_団体経営,林業経営体_団体経営_法人経営
1600000000,富山県,,,,12474,11415,1059,789,12356,11331,1025,760,181,147,34,29
1620100000,富山県,富山市,,,3583,3403,180,136,3565,3392,173,129,37,30,7,7
1620101000,富山県,富山市,（奥田）,,9,9,-,-,9,9,-,-,-,-,-,-
1620101001,富山県,富山市,（奥田）,中島,1,1,-,-,1,1,-,-,-,-,-,-
1620101002,富山県,富山市,（奥田）,下新,4,4,-,-,4,4,-,-,-,-,-,-
1620101003,富山県,富山市,（奥田）,下奥井,1,1,-,-,1,1,-,-,-,-,-,-
1620101004,富山県,富山市,（奥田）,奥田,1,1,-,-,1,1,-,-,-,-,-,-
1620101005,富山県,富山市,（奥田）,奥井,-,-,-,-,-,-,-,-,-,-,-,-
1620101006,富山県,富山市,（奥田）,窪,2,2,-,-,2,2,-,-,-,-,-,-
1620101007,富山県,富山市,（奥田）,稲荷,-,-,-,-,-,-,-,-,-,-,-,-
1620102000,富山県,富山市,（呉羽）・（五福）,,39,39,-,-,39,39,-,-,-,-,-,-
1620102001,富山県,富山市,（呉羽）・（五福）,金屋,21,21,-,-,21,21,-,-,-,-,-,-
1620102002,富山県,富山市,（呉羽）・（五福）,下野新,3,3,-,-,3,3,-,-,-,-,-,-
1620102003,富山県,富山市,（呉羽）・（五福）,寺町,13,13,-,-,13,13,-,-,-,-,-,-
1620102004,富山県,富山市,（呉羽）・（五福）,五福,-,-,-,-,-,-,-,-,-,-,-,-
1620102005,富山県,富山市,（呉羽）・（五福）,鵯島,2,2,-,-,2,2,-,-,-,-,-,-
1620103000,富山県,富山市,（櫻谷）,,9,7,2,2,7,7,-,-,2,-,2,2
1620103001,富山県,富山市,（櫻谷）,石坂,1,1,-,-,1,1,-,-,-,-,-,-
1620103002,富山県,富山市,（櫻谷）,五艘,5,5,-,-,5,5,-,-,-,-,-,-
1620103003,富山県,富山市,（櫻谷）,田刈屋,1,1,-,-,1,1,-,-,-,-,-,-
1620103004,富山県,富山市,（櫻谷）,安養坊,-,-,-,-,-,-,-,-,-,-,-,-
1620103005,富山県,富山市,（櫻谷）,牛島,-,-,-,-,-,-,-,-,-,-,-,-
1620103006,富山県,富山市,（櫻谷）,神中,1,-,1,1,-,-,-,-,1,-,1,1
1620103007,富山県,富山市,（櫻谷）,橋北・磯部,1,-,1,1,-,-,-,-,1,-,1,1
