KEY_CODE,PREF_N,CITY_N,KCITY_N,AGRI_N,T001040001,T001040002,T001040003,T001040004,T001040005,T001040006,T001040007,T001040008,T001040009,T001040010,T001040011,T001040012,T001040013,T001040014,T001040015,T001040016
,,,,,合計,法人化している_合計,法人化している_農事組合法人,法人化している_会社_小計,法人化している_会社_株式会社,法人化している_会社_合名・合資会社,法人化している_会社_合同会社,法人化している_会社_相互会社,法人化している_各種団体_小計,法人化している_各種団体_農協,法人化している_各種団体_森林組合,法人化している_各種団体_その他の各種団体,法人化している_その他の法人,地方公共団体・財産区,法人化していない,法人化していない_個人経営体
1600000000,富山県,,,,12474,789,497,216,205,2,9,-,63,45,17,1,13,3,11682,11415
1620100000,富山県,富山市,,,3583,136,64,52,49,1,2,-,15,12,2,1,5,-,3447,3403
1620101000,富山県,富山市,（奥田）,,9,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9
1620101001,富山県,富山市,（奥田）,中島,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1620101002,富山県,富山市,（奥田）,下新,4,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4
1620101003,富山県,富山市,（奥田）,下奥井,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1620101004,富山県,富山市,（奥田）,奥田,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1620101005,富山県,富山市,（奥田）,奥井,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1620101006,富山県,富山市,（奥田）,窪,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1620101007,富山県,富山市,（奥田）,稲荷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1620102000,富山県,富山市,（呉羽）・（五福）,,39,-,-,-,-,-,-,-,-,-,-,-,-,-,39,39
1620102001,富山県,富山市,（呉羽）・（五福）,金屋,21,-,-,-,-,-,-,-,-,-,-,-,-,-,21,21
1620102002,富山県,富山市,（呉羽）・（五福）,下野新,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1620102003,富山県,富山市,（呉羽）・（五福）,寺町,13,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13
1620102004,富山県,富山市,（呉羽）・（五福）,五福,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
